Globorotalia_crassaformis,Globorotalia_hirsuta,Globorotalia_menardii_&_Globorotalia_tumida,Globorotalia_scitula,Globorotalia_truncatulinoides,Globoconella_inflata,Neogloboquadrina_dutertrei,Neogloboquadrina_incompta,Neogloboquadrina_pachyderma,Pulleniatina_obliquiloculata,Globigerina_bulloides,Globigerina_falconensis,Globigerinoides_conglobatus,Globigerinoides_ruber,Globigerinoides_white,Trilobatus_sacculifer_w_sac_chamber,Trilobatus_sacculifer_wo_sac_chamber,Globigerinoides_tenellus,Orbulina_universa,Beella_digitata,Globigerinella_siphonifera,Globigerinella_calida,Turborotalita_quinqueloba,Globoturborotalita_rubescens,Sphaeroidinella_dehiscens,Globigerinita_glutinata,unidentified original + excluídos,RES_Annual_0m,RES_Annual_50m,RES_Annual_75m,RES_Annual_100m,RES_Annual_0-75m,RES_Annual_0-100m,RES_Annual_0-200m,RES_jan-mar_0m,RES_jan-mar_50m,RES_jan-mar_75m,RES_jan-mar_100m,RES_jan-mar_0-75m,RES_jan-mar_0-100m,RES_jan-mar_0-200m,RES_jul-sep_0m,RES_jul-sep_50m,RES_jul-sep_75m,RES_jul-sep_100m,RES_jul-sep_0-75m,RES_jul-sep_0-100m,RES_jul-sep_0-200m
0.000996016,0.000996016,0.007968128,0,0.018924303,0.194223108,0,0.025896414,0.000996016,0.000996016,0.053784861,0,0.016932271,0,0.488047809,0.020916335,0.035856574,0.000996016,0.000996016,0,0.016932271,0.014940239,0,0,0.007968127,0.037848606,0.053784861,22.0093,21.1437,20.1877,19.4419,21.4628,21.1029,20.4869,20.0292,19.9147,19.8702,19.7057,20.0287,20.0108,19.7714,24.051,21.9645,20.2411,19.3036,22.7792,22.0502,21.0956
0.003933137,0.019665683,0.013765978,0.032448378,0.081612586,0.09439528,0,0.066863324,0.000983284,0,0.197640118,0.01179941,0.006882989,0.000983284,0.142576205,0.021632252,0.036381514,0,0.007866273,0.000983284,0.028515241,0.007866273,0.003933137,0,0,0.179941003,0.039331367,19.059,17.7246,16.6931,16.0517,18.1883,17.6876,16.9991,16.5606,16.4111,16.3282,16.1568,16.5314,16.4771,16.2214,21.9444,18.541,16.6936,15.9236,19.897,18.8647,17.7306
0,0.019940179,0.016949153,0.039880359,0.0777667,0.10667996,0,0.071784646,0,0,0.216350947,0.008973081,0.005982054,0,0.149551346,0.019940179,0.039880359,0,0.008973081,0.002991027,0.034895314,0.007976072,0.008973081,0,0,0.146560319,0.015952144,19.059,17.7246,16.6931,16.0517,18.1883,17.6876,16.9991,16.5606,16.4111,16.3282,16.1568,16.5314,16.4771,16.2214,21.9444,18.541,16.6936,15.9236,19.897,18.8647,17.7306
0,0,0,0.04509018,0.021042084,0.146292585,0,0.245490982,0.009018036,0,0.276553106,0.002004008,0,0,0.012024048,0,0,0,0.009018036,0,0.014028056,0.002004008,0.021042084,0,0,0.189378758,0.007014028,14.165,13.1648,12.6001,12.3173,13.5956,13.3385,13.0327,12.0798,12.0189,11.989,11.96,12.1546,12.1318,12.0966,17.0775,14.1856,12.891,12.4544,15.2943,14.6153,13.9312
0,0,0.010989011,0.034965035,0.011988012,0.087912088,0,0.304695305,0.010989011,0,0.300699301,0.004995005,0,0,0.006993007,0,0,0,0.006993007,0,0.00999001,0,0.001998002,0,0,0.194805195,0.011988012,14.2112,13.1509,12.5561,12.2778,13.5692,13.2915,12.9709,12.062,11.9963,11.9667,11.9408,11.9694,11.9567,11.9323,17.1397,14.1138,12.8028,12.3848,15.3668,14.6438,13.9171
0,0,0.003996004,0.030969031,0.017982018,0.137862138,0,0.380619381,0.00999001,0,0.233766234,0,0,0,0.003996004,0,0,0,0.001998002,0,0.001998002,0.001998002,0.00999001,0,0,0.156843157,0.007992008,13.3318,12.4748,11.9617,11.7085,12.7185,12.4921,12.2187,11.3899,11.3371,11.3032,11.2769,11.4137,11.397,11.3729,16.0319,13.5598,12.3246,11.904,14.3426,13.7406,13.1123
0,0,0,0.026,0.003,0.099,0,0.372,0.007,0,0.267,0,0,0,0,0,0,0,0.003,0,0.003,0.007,0.032,0,0,0.177,0.004,13.1954,12.3613,11.8551,11.6058,12.5863,12.3627,12.0906,11.2743,11.2235,11.1888,11.1628,11.3146,11.296,11.2677,15.8634,13.4589,12.2303,11.8114,14.199,13.6073,12.9835
0,0,0,0.014,0,0.078,0.003,0.489,0.017,0,0.136,0.029,0,0,0,0,0,0,0,0,0.003,0,0.023,0,0,0.205,0.003,12.3978,11.691,11.2233,10.9822,11.876,11.6609,11.3911,10.5976,10.5548,10.5207,10.4983,10.6199,10.598,10.558,14.9233,12.874,11.6718,11.2418,13.5584,12.9816,12.354
0,0,0.009,0.018,0.009,0.139,0,0.393,0.015,0,0.192,0.003,0,0,0.003,0,0,0,0,0,0,0,0.015,0,0,0.195,0.009,12.1216,11.4516,10.9938,10.7632,11.4974,11.2874,11.0187,10.345,10.3085,10.2737,10.2533,10.1762,10.1575,10.1174,14.5911,12.6544,11.4637,11.0428,13.2012,12.6252,11.9957
0,0,0.008991009,0.017982018,0.008991009,0.138861139,0,0.393606394,0.014985015,0,0.191808192,0.002997003,0,0,0.002997003,0,0,0,0,0,0,0,0.014985015,0,0,0.194805195,0.008991009,12.1216,11.4516,10.9938,10.7632,11.4974,11.2874,11.0187,10.345,10.3085,10.2737,10.2533,10.1762,10.1575,10.1174,14.5911,12.6544,11.4637,11.0428,13.2012,12.6252,11.9957
0,0,0.001998002,0.010989011,0.001998002,0.091908092,0,0.423576424,0.008991009,0,0.225774226,0.001998002,0,0,0,0,0,0,0.005994006,0.001998002,0,0.003996004,0.020979021,0,0,0.197802198,0.001998002,11.7769,11.1542,10.7146,10.4998,11.3372,11.1357,10.8773,10.034,10.0072,9.97327,9.95685,9.98145,9.96319,9.92296,14.1751,12.3817,11.2152,10.8082,12.9637,12.4063,11.7988
