Globorotalia_crassaformis,Globorotalia_hirsuta,Globorotalia_menardii_&_Globorotalia_tumida,Globorotalia_scitula,Globorotalia_truncatulinoides,Globoconella_inflata,Neogloboquadrina_dutertrei,Neogloboquadrina_incompta,Neogloboquadrina_pachyderma,Pulleniatina_obliquiloculata,Globigerina_bulloides,Globigerina_falconensis,Globigerinoides_conglobatus,Globigerinoides_ruber,Globigerinoides_white,Trilobatus_sacculifer_w_sac_chamber,Trilobatus_sacculifer_wo_sac_chamber,Globigerinoides_tenellus,Orbulina_universa,Beella_digitata,Globigerinella_siphonifera,Globigerinella_calida,Turborotalita_quinqueloba,Globoturborotalita_rubescens,Sphaeroidinella_dehiscens,Globigerinita_glutinata,unidentified original + excluídos
0,0.005976096,0.011952191,0.018924303,0.066733068,0.168326693,0,0.235059761,0.018924303,0,0.225099602,0.008964143,0,0,0.060756972,0,0,0,0.011952191,0,0.002988048,0.005976096,0.021912351,0,0,0.118525896,0.017928287
0.002938296,0.006856024,0.016650343,0.002938296,0.054848188,0.29970617,0,0.301665034,0,0,0.13222331,0.002938296,0.002938296,0,0.042115573,0.006856024,0.002938296,0,0.032321254,0.006856024,0.009794319,0.006856024,0,0,0,0.032321254,0.036238981
0,0,0.007920792,0.007920792,0.00990099,0.291089109,0,0.320792079,0.003960396,0,0.166336634,0,0,0,0.05049505,0.003960396,0,0,0.013861386,0.003960396,0.011881188,0.011881188,0.007920792,0,0,0.07029703,0.017821782
0,0.010040161,0,0,0.047188755,0.246987952,0.00502008,0.143574297,0.016064257,0,0.37248996,0.00502008,0,0.001004016,0.022088353,0.011044177,0.027108434,0,0.027108434,0,0.027108434,0.008032129,0.016064257,0,0,0.014056225,0
0,0.006012024,0,0.006012024,0,0.073146293,0,0.043086172,0.018036072,0,0.583166333,0.006012024,0,0,0.007014028,0.003006012,0.012024048,0,0.022044088,0,0.06012024,0.0250501,0.084168337,0,0,0.04509018,0.006012024
0,0.002002002,0,0.016016016,0.004004004,0.076076076,0.001001001,0.021021021,0.016016016,0,0.648648649,0,0,0.001001001,0.019019019,0.004004004,0.028028028,0,0.016016016,0,0.063063063,0.02002002,0.032032032,0,0,0.032032032,0
0,0.010978044,0,0.02994012,0.01497006,0.053892216,0.000998004,0.112774451,0.02994012,0,0.49500998,0.03992016,0,0.000998004,0.031936128,0.000998004,0.003992016,0,0.007984032,0,0.013972056,0.021956088,0.03992016,0,0,0.089820359,0
0,0.013292434,0,0.013292434,0.026584867,0.066462168,0.010224949,0.056237219,0.013292434,0,0.206543967,0.026584867,0,0.007157464,0.016359918,0.020449898,0.132924335,0,0.026584867,0,0.039877301,0.007157464,0.096114519,0.033742331,0,0.166666667,0.020449898
0,0.006276151,0,0.003138075,0,0.038702929,0,0.093096234,0.014644351,0,0.345188285,0.006276151,0,0.003138075,0.009414226,0,0.017782427,0,0,0,0.027196653,0.035564854,0.207112971,0.048117155,0,0.144351464,0
0,0.019172553,0,0.004036327,0.055499495,0.228052472,0,0.298688194,0.004036327,0,0.06962664,0.034308779,0,0,0.074672048,0.007063572,0.041372351,0.001009082,0.106962664,0,0.00605449,0.007063572,0.007063572,0.011099899,0,0.013118063,0.011099899
